AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0.0288,0.0168,0.0196,0.026000000000000002,0.0184,0.036,0.0396,0.013999999999999999,0.0304,0.0,0.0124,0.0132,0.0032,0.0124,0.0644,0.048799999999999996,0.0,I need to take a break
0.0248,0.01,0.0172,0.0024000000000000002,0.027200000000000002,0.0016,0.0236,0.0,0.032,0.008,0.0,0.0,0.0128,0.021200000000000004,0.058399999999999994,0.0504,0.0152,I need to take a break
0.040400000000000005,0.0264,0.0252,0.0,0.0216,0.016,0.022000000000000002,0.0032,0.027200000000000002,0.0024000000000000002,0.0,0.0,0.004,0.0132,0.0628,0.0596,0.006,I need to take a break
0.0248,0.016,0.013600000000000001,0.0068000000000000005,0.0152,0.022799999999999997,0.0344,0.0008,0.022799999999999997,0.0,0.005600000000000001,0.013600000000000001,0.01,0.017599999999999998,0.048799999999999996,0.05639999999999999,0.0,I need to take a break
0.038400000000000004,0.027999999999999997,0.0268,0.0108,0.016399999999999998,0.026000000000000002,0.0288,0.0,0.022400000000000003,0.013999999999999999,0.0168,0.0084,0.0188,0.0156,0.0316,0.040400000000000005,0.009600000000000001,I need to take a break
0.046,0.027599999999999996,0.017599999999999998,0.016399999999999998,0.0196,0.02,0.0288,0.0072,0.017599999999999998,0.008,0.0252,0.0132,0.008,0.017599999999999998,0.028399999999999998,0.038,0.0,I need to take a break
0.0144,0.01,0.02,0.0072,0.0124,0.022000000000000002,0.029599999999999998,0.0068000000000000005,0.018,0.0108,0.008799999999999999,0.0092,0.012,0.0124,0.0376,0.0316,0.0,I need to take a break
0.0432,0.0256,0.027599999999999996,0.0024000000000000002,0.02,0.04,0.0268,0.0064,0.026000000000000002,0.006,0.0216,0.0032,0.0036,0.0036,0.032799999999999996,0.02,0.0064,I need to take a break
0.0396,0.028399999999999998,0.0184,0.0,0.017599999999999998,0.016399999999999998,0.021200000000000004,0.0012000000000000001,0.0204,0.0064,0.0188,0.0,0.008,0.0036,0.0316,0.022400000000000003,0.0,I need to take a break
0.0376,0.0356,0.012,0.026000000000000002,0.017599999999999998,0.0288,0.03,0.0036,0.022000000000000002,0.0072,0.019200000000000002,0.008799999999999999,0.0036,0.004,0.027200000000000002,0.03319999999999999,0.0024000000000000002,I need to take a break
0.032,0.010400000000000001,0.0072,0.022400000000000003,0.0236,0.0108,0.0256,0.0116,0.020800000000000003,0.0236,0.0264,0.014799999999999999,0.0252,0.0076,0.0368,0.04240000000000001,0.0,I need to take a break
0.038,0.0268,0.027599999999999996,0.0156,0.0172,0.0016,0.024399999999999998,0.008799999999999999,0.0172,0.005200000000000001,0.0264,0.0116,0.016399999999999998,0.0124,0.0324,0.032,0.0076,I need to take a break
0.0344,0.0356,0.02,0.0168,0.0172,0.0024000000000000002,0.0316,0.0116,0.0188,0.026000000000000002,0.021200000000000004,0.0024000000000000002,0.0232,0.0172,0.0236,0.033999999999999996,0.0144,I need to take a break
